arm,lang,condition,n,n_expected,complete,wer,cer,empty_hyp,unscorable_refs,errors,audio_min
native-gpt-realtime-2,de_de,cafe_snr0,25,25,1,34.5,18.67,0,0,0,4.85
native-gpt-realtime-2,de_de,cafe_snr10,25,25,1,4.29,1.52,0,0,0,4.85
native-gpt-realtime-2,de_de,cafe_snr20,25,25,1,3.12,1.12,0,0,0,4.85
native-gpt-realtime-2,de_de,cafe_snr5,25,25,1,8.58,3.17,0,0,0,4.85
native-gpt-realtime-2,de_de,clean,25,25,1,3.31,1.26,0,0,0,4.85
native-gpt-realtime-2,de_de,tel,25,25,1,3.7,1.29,0,0,0,4.85
native-gpt-realtime-2,de_de,tel_cafe_snr10,25,25,1,6.63,2.5,0,0,0,4.85
native-gpt-realtime-2,de_de,tel_loss3,25,25,1,5.07,1.71,0,0,0,4.85
native-gpt-realtime-2,en_us,cafe_snr0,25,25,1,14.31,8.52,1,0,0,3.9
native-gpt-realtime-2,en_us,cafe_snr10,25,25,1,5.55,2.71,0,0,0,3.9
native-gpt-realtime-2,en_us,cafe_snr20,25,25,1,4.47,1.87,0,0,0,3.9
native-gpt-realtime-2,en_us,cafe_snr5,25,25,1,6.44,3.18,0,0,0,3.9
native-gpt-realtime-2,en_us,clean,25,25,1,4.47,2.06,0,0,0,3.9
native-gpt-realtime-2,en_us,tel,25,25,1,6.08,3.12,0,0,0,3.9
native-gpt-realtime-2,en_us,tel_cafe_snr10,25,25,1,7.69,3.71,0,0,0,3.9
native-gpt-realtime-2,en_us,tel_loss3,25,25,1,8.23,4.43,0,0,0,3.9
native-gpt-realtime-21,de_de,cafe_snr0,25,25,1,34.5,18.67,0,0,0,4.85
native-gpt-realtime-21,de_de,cafe_snr10,25,25,1,4.29,1.52,0,0,0,4.85
native-gpt-realtime-21,de_de,cafe_snr20,0,25,0,,,,,,0.0
native-gpt-realtime-21,de_de,cafe_snr5,25,25,1,8.58,3.17,0,0,0,4.85
native-gpt-realtime-21,de_de,clean,25,25,1,3.31,1.26,0,0,0,4.85
native-gpt-realtime-21,de_de,tel,25,25,1,3.7,1.29,0,0,0,4.85
native-gpt-realtime-21,de_de,tel_cafe_snr10,25,25,1,6.63,2.5,0,0,0,4.85
native-gpt-realtime-21,de_de,tel_loss3,0,25,0,,,,,,0.0
native-gpt-realtime-21,en_us,cafe_snr0,25,25,1,14.31,8.52,1,0,0,3.9
native-gpt-realtime-21,en_us,cafe_snr10,25,25,1,5.55,2.71,0,0,0,3.9
native-gpt-realtime-21,en_us,cafe_snr20,0,25,0,,,,,,0.0
native-gpt-realtime-21,en_us,cafe_snr5,25,25,1,6.44,3.18,0,0,0,3.9
native-gpt-realtime-21,en_us,clean,25,25,1,4.47,2.06,0,0,0,3.9
native-gpt-realtime-21,en_us,tel,25,25,1,6.08,3.12,0,0,0,3.9
native-gpt-realtime-21,en_us,tel_cafe_snr10,25,25,1,7.69,3.71,0,0,0,3.9
native-gpt-realtime-21,en_us,tel_loss3,0,25,0,,,,,,0.0
native-gpt-realtime-21-mini,de_de,cafe_snr0,25,25,1,34.5,18.67,0,0,0,4.85
native-gpt-realtime-21-mini,de_de,cafe_snr10,25,25,1,4.29,1.52,0,0,0,4.85
native-gpt-realtime-21-mini,de_de,cafe_snr20,0,25,0,,,,,,0.0
native-gpt-realtime-21-mini,de_de,cafe_snr5,25,25,1,8.58,3.17,0,0,0,4.85
native-gpt-realtime-21-mini,de_de,clean,25,25,1,3.31,1.26,0,0,0,4.85
native-gpt-realtime-21-mini,de_de,tel,25,25,1,3.7,1.29,0,0,0,4.85
native-gpt-realtime-21-mini,de_de,tel_cafe_snr10,25,25,1,6.63,2.5,0,0,0,4.85
native-gpt-realtime-21-mini,de_de,tel_loss3,0,25,0,,,,,,0.0
native-gpt-realtime-21-mini,en_us,cafe_snr0,25,25,1,14.31,8.52,1,0,0,3.9
native-gpt-realtime-21-mini,en_us,cafe_snr10,25,25,1,5.55,2.71,0,0,0,3.9
native-gpt-realtime-21-mini,en_us,cafe_snr20,0,25,0,,,,,,0.0
native-gpt-realtime-21-mini,en_us,cafe_snr5,25,25,1,6.44,3.18,0,0,0,3.9
native-gpt-realtime-21-mini,en_us,clean,25,25,1,4.47,2.06,0,0,0,3.9
native-gpt-realtime-21-mini,en_us,tel,25,25,1,6.08,3.12,0,0,0,3.9
native-gpt-realtime-21-mini,en_us,tel_cafe_snr10,25,25,1,7.69,3.71,0,0,0,3.9
native-gpt-realtime-21-mini,en_us,tel_loss3,0,25,0,,,,,,0.0
vl-gpt41mini,de_de,cafe_snr0,25,25,1,20.47,9.72,0,0,0,4.85
vl-gpt41mini,de_de,cafe_snr10,25,25,1,4.68,1.35,0,0,0,4.85
vl-gpt41mini,de_de,cafe_snr20,25,25,1,4.29,1.21,0,0,0,4.85
