arm,trial,scenario,lang,intent,n_slots,slot_heard,slots_all_heard,missed_heard,slot_echoed,slots_all_echoed,missed_echoed,tools_called,tool_ok,grounded_n,grounded_hit,grounded_ok,forbidden_hit,forbidden_terms,ttfa_p50_ms,bargein_attempts,bargein_inflight,bargein_stop_ms,bargein_correct,agent_turns,session_s,error
vl-gpt41mini,1,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,1476.6,0,0,,,2,39.5,
vl-gpt41mini,1,reschedule-en-01,en_US,reschedule,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1473.5,0,0,,,4,22.8,
vl-gpt41mini,1,bargein-en-01,en_US,book_appointment,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1208.9,1,0,19.6,1,3,43.8,
vl-gpt41mini-dns,1,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,1441.5,0,0,,,2,39.6,
vl-gpt41mini-dns,1,reschedule-en-01,en_US,reschedule,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1396.1,0,0,,,4,23.4,
vl-gpt41mini-dns,1,bargein-en-01,en_US,book_appointment,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1502.0,1,0,,1,3,44.3,
native-gpt-realtime-2,1,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,1764.3,0,0,,,3,19.7,
native-gpt-realtime-2,1,reschedule-en-01,en_US,reschedule,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,2172.6,0,0,,,5,29.9,
native-gpt-realtime-2,1,bargein-en-01,en_US,book_appointment,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,2078.8,1,1,,1,3,47.7,
vl-gpt41mini,2,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,1270.5,0,0,,,2,39.2,
vl-gpt41mini,2,reschedule-en-01,en_US,reschedule,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1424.9,0,0,,,4,23.7,
vl-gpt41mini,2,bargein-en-01,en_US,book_appointment,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1653.5,1,0,283.9,1,3,44.9,
vl-gpt41mini-dns,2,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,1384.6,0,0,,,2,39.3,
vl-gpt41mini-dns,2,reschedule-en-01,en_US,reschedule,4,1.0,1,,0.5,0,"last_name,first_name",,0,0,0,1,0,,1658.0,0,0,,,4,24.6,
vl-gpt41mini-dns,2,bargein-en-01,en_US,book_appointment,2,1.0,1,,0.5,0,last_name,end_call,1,0,0,1,0,,1653.8,1,0,,0,3,45.2,
native-gpt-realtime-2,2,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,2306.5,0,0,,,3,20.5,
native-gpt-realtime-2,2,reschedule-en-01,en_US,reschedule,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1848.9,0,0,,,5,30.0,
native-gpt-realtime-2,2,bargein-en-01,en_US,book_appointment,2,1.0,1,,0.5,0,last_name,end_call,1,0,0,1,0,,2212.9,1,0,,0,3,48.0,
vl-gpt41mini,3,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,1310.3,0,0,,,2,39.6,
vl-gpt41mini,3,reschedule-en-01,en_US,reschedule,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1432.6,0,0,,,4,22.9,
vl-gpt41mini,3,bargein-en-01,en_US,book_appointment,2,1.0,1,,0.5,0,last_name,end_call,1,0,0,1,0,,1445.7,1,0,,0,3,44.5,
vl-gpt41mini-dns,3,hours-en-01,en_US,grounded_qa,0,,,,,,,,0,3,3,1,0,,1305.6,0,0,,,3,16.2,
vl-gpt41mini-dns,3,reschedule-en-01,en_US,reschedule,4,1.0,1,,0.5,0,"last_name,first_name",,0,0,0,1,0,,1394.7,0,0,,,4,23.1,
vl-gpt41mini-dns,3,bargein-en-01,en_US,book_appointment,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1586.4,1,0,,1,3,44.8,
native-gpt-realtime-2,3,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,1973.1,0,0,,,3,18.7,
native-gpt-realtime-2,3,reschedule-en-01,en_US,reschedule,4,1.0,1,,1.0,1,,,0,0,0,1,0,,2334.6,0,0,,,5,31.9,
native-gpt-realtime-2,3,bargein-en-01,en_US,book_appointment,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,2072.8,1,0,,1,4,47.7,
vl-native-brain,1,hours-en-01,en_US,grounded_qa,0,,,,,,,,0,3,3,1,0,,2408.2,0,0,,,3,18.1,
vl-native-brain,1,reschedule-en-01,en_US,reschedule,4,1.0,1,,1.0,1,,,0,0,0,1,0,,3263.4,0,0,,,5,29.7,
vl-native-brain,1,bargein-en-01,en_US,book_appointment,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,2359.8,1,0,,1,4,24.5,
vl-gpt41mini-semvad,1,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,1405.7,0,0,,,2,39.3,
vl-gpt41mini-semvad,1,reschedule-en-01,en_US,reschedule,4,1.0,1,,0.75,0,last_name,,0,0,0,1,0,,1493.3,0,0,,,4,24.2,
vl-gpt41mini-semvad,1,bargein-en-01,en_US,book_appointment,2,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1171.3,1,0,,1,3,43.5,
vl-native-brain,2,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,2919.5,0,0,,,2,41.7,
vl-native-brain,2,reschedule-en-01,en_US,reschedule,4,1.0,1,,1.0,1,,,0,0,0,1,0,,3412.7,0,0,,,4,30.0,
vl-native-brain,2,bargein-en-01,en_US,book_appointment,2,1.0,1,,0.5,0,last_name,end_call,1,0,0,1,0,,2395.3,1,0,,0,4,47.5,
vl-gpt41mini-semvad,2,hours-en-01,en_US,grounded_qa,0,,,,,,,end_call,1,3,3,1,0,,1186.9,0,0,,,2,39.1,
